A/A;Κωδικός;Κωδ.εργοστασίου;Περιγραφή;Ομάδα;Υποομάδα;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Κόστος απογραφής;Κόστος πωληθέντων;Αξία πωληθέντων;Κόστος υπολοίπου;Συντελεστής Μ.Κ.;
870;009364;LA1951G;MONITOR 19'' TFT;IT;ΟΘΟΝΕΣ;6,00;122,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;122,00;0,00;0,00;6,00;122,00;122,00;0,00;0,00;122,01;0,00;
871;009370;DS-2908ZJ;Turret Tripod Adapter;CCTV;MOUNTS/PLATES/BRACKETS/BOXES;1,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;13,00;0,00;0,00;1,00;13,00;13,00;0,00;0,00;13,00;0,00;
872;009377;TBD-450;PLASTIC PROTECTIVE COVER FOR MCP;FIRE DETECTION;ACCESSORIES FIRE CONVENTIONAL;0,00;0,00;0,00;0,00;0,00;0,00;13,00;25,20;0,00;0,00;13,00;25,20;0,00;0,00;13,00;21,05;0,00;0,00;0,00;21,04;0,00;
873;009378;SMD-450;FLUSH MOUNT FOR MCP;FIRE DETECTION;SPARE PARTS FIRE DETECTION;0,00;0,00;0,00;0,00;0,00;0,00;13,00;26,63;0,00;0,00;13,00;26,63;0,00;0,00;13,00;17,16;0,00;0,00;0,00;17,16;0,00;
874;009383;DS-6716HWI;DIGITAL VIDEO SERVER;CCTV;ΚΑΤΑΓΡΑΦΙΚΑ NVR/DVR;4,00;1.364,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;1.364,00;0,00;0,00;4,00;1.364,00;1.364,00;0,00;0,00;1.364,00;0,00;
875;009409;HUB PLUS BL;AJAX HUB PLUS BLACK - WIRELESS ALARM PANEL WITH WI-FI, DUAL SIM & ETHERNET CONNECTION IN BLACK COLOR;INTRUSION/BA;ΚΕΝΤΡΙΚΕΣ ΜΟΝΑΔΕΣ BA;1,00;174,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;174,40;0,00;0,00;1,00;174,40;174,40;0,00;0,00;174,40;0,00;
876;009417;IFS16-M10-BT03;illustra Flex 16MP (4x4MP Sensors), 360 degree coverage, 2.8mm repositionable lenses, True WDR, True Day/Night, H.264/MJPEG, ONV;CCTV;ΕΙΔΙΚΕΣ ΚΑΜΕΡΕΣ;1,00;834,89;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;834,89;0,00;0,00;1,00;834,89;834,89;0,00;0,00;834,89;0,00;
877;009418;T91B47;AXIS POLE MOUNT 100-410mm;CCTV;MOUNTS/PLATES/BRACKETS/BOXES;8,00;631,69;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;631,69;0,00;0,00;8,00;631,69;631,69;0,00;0,00;631,69;0,00;
878;009446;TK4100;PROXIMITY CLAMSHELL TK4100;ACCESS CONTROL;CARDS/TAGS (ACCESS);50,00;13,10;0,00;0,00;0,00;0,00;515,00;148,75;415,00;447,00;565,00;161,85;415,00;447,00;150,00;37,65;13,10;116,85;447,00;37,69;73,86;
879;009451;DS-2CD2746G2-IZS;4MP AcuSense Varifocal Dome Network Camera;CCTV;ΚΑΜΕΡΕΣ DOME;62,00;9.734,00;0,00;0,00;0,00;0,00;0,00;0,00;62,00;15.062,90;62,00;9.734,00;62,00;15.062,90;0,00;0,00;9.734,00;9.734,00;15.062,90;0,00;35,38;
880;009454;517.050.023;5BEX 5” Universal Ex detector base;FIRE DETECTION;ACCESSORIES FIRE CONVENTIONAL;6,00;57,79;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;6,00;57,79;6,00;0,00;0,00;0,00;57,79;0,00;0,00;0,00;0,00;
881;009465;DS-2CD1H43G0-IZ;4 MP Motorized Varifocal Turret Network Camera;CCTV;ΚΑΜΕΡΕΣ DOME;5,00;483,56;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;483,56;0,00;0,00;5,00;483,56;483,56;0,00;0,00;483,56;0,00;
882;009469;MBK07-BD-16B20M134;"ΣΩΛΗΝΑΣ ΠΥΡ.13/4"" 15BAR 20M EN14540 ΔΕΜΕΝΗ ΜΕ ΡΑΚΟΡ";FIRE EXTINGUISHING;ΠΑΡΕΛΚΟΜΕΝΑ FIRE EXTINGUISHING;2,00;54,85;0,00;0,00;0,00;0,00;0,00;0,00;2,00;86,48;2,00;54,85;2,00;86,48;0,00;0,00;54,85;54,85;86,48;0,00;36,57;
883;009470;MBK15-CABFOAM-SPARTAN;ΦΩΛΙΑ ΠΥΡ/ΚΗ ΑΦΡΟΥ SPARTAN FOAM FIGHTER;FIRE EXTINGUISHING;ΠΥΡΟΣΒΕΣΤΙΚΕΣ ΦΩΛΙΕΣ;0,00;0,00;0,00;0,00;0,00;0,00;2,00;991,34;2,00;1.679,40;2,00;991,34;2,00;1.679,40;0,00;0,00;0,00;0,00;1.679,40;0,00;100,00;
884;009480;DS-1604ZJ-BOX-POLE;Steel Vertical pole mount for Speed Dome;CCTV;MOUNTS/PLATES/BRACKETS/BOXES;38,00;1.631,49;0,00;0,00;0,00;0,00;0,00;1.386,00;1,00;40,28;38,00;3.017,49;1,00;40,28;37,00;1.588,56;1.631,49;42,93;40,28;1.588,56;-6,59;
885;009485;MAD-412;ADDRESSABLE MODULE 2 RELAY OUTPUTS;FIRE DETECTION;MODULE FIRE ADDRESSABLE;1,00;31,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;44,50;1,00;31,01;0,00;44,50;1,00;31,01;31,01;31,01;44,50;31,01;30,31;
886;009488;GS-4210-24P2S;24Port 10/100/1000 + 2SFP Managed Switch;IT;SWITCHES;2,00;717,19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;717,19;0,00;0,00;2,00;717,19;717,19;0,00;0,00;717,19;0,00;
887;009492;517.001.301;MTL7728+ Zener safety barrier for conventional detection circuits;FIRE DETECTION;LICENSE/SOFTWARE FIRE DET;6,00;385,66;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;6,00;385,66;6,00;0,00;0,00;0,00;385,66;0,00;0,00;0,00;0,00;
888;009493;508.031.753;BAW75T-24 - POWER SUPPLY 24V 2.7A;ΛΟΙΠΑ;ΤΡΟΦΟΔΟΤΙΚΑ;4,00;211,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;211,80;0,00;0,00;4,00;211,80;211,80;0,00;0,00;211,80;0,00;
889;009497;119472;ΑΚΡΟΦΥΣΙΟ 3/4 Φ3,4mm;FIRE EXTINGUISHING;ΠΑΡΕΛΚΟΜΕΝΑ FIRE EXTINGUISHING;1,00;62,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;62,00;1,00;0,00;0,00;0,00;62,00;0,00;0,00;0,00;0,00;
890;009508;557.202.842;PLX800 PROFILE Flexible loop expansion slot card;FIRE DETECTION;SPARE PARTS FIRE DETECTION;11,00;3.014,73;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;3.014,73;0,00;0,00;11,00;3.014,73;3.014,73;0,00;0,00;3.014,73;0,00;
891;009512;576.080.009;P85AVR Addressable Wall Sounder VAD IP;FIRE DETECTION;ΣΕΙΡΗΝΕΣ FIRE ADDRESSABLE;3,00;306,76;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;3,00;306,76;3,00;0,00;0,00;0,00;306,76;0,00;0,00;0,00;0,00;
892;009513;DS-2CD5A26G1-IZHS;2MP DarkFighter Moto Varifocal Bullet Network Camera;CCTV;ΚΑΜΕΡΕΣ BULLET;1,00;418,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;418,00;0,00;0,00;1,00;418,00;418,00;0,00;0,00;418,00;0,00;
893;009519;NED-9565531;MACE READER MM QR;ACCESS CONTROL;READERS;1,00;417,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;417,06;0,00;0,00;1,00;417,06;417,06;0,00;0,00;417,06;0,00;
894;009528;568.800.033;RIM800 Relay interface module with M520 front cover;FIRE DETECTION;MODULE FIRE ADDRESSABLE;1,00;22,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;22,04;0,00;0,00;1,00;22,04;22,04;0,00;0,00;22,04;0,00;
895;009529;517.035.007;M520 Ancillary module cover;FIRE DETECTION;ΠΙΝΑΚΕΣ FIRE ADDRESSABLE;142,00;312,26;0,00;0,00;0,00;0,00;215,00;406,88;186,00;497,76;357,00;719,14;186,00;497,76;171,00;321,82;312,26;350,06;497,76;321,83;29,67;
896;009532;DGS-1100-08;8P 10/100/1000Mbps SWITCH;IT;SWITCHES;1,00;31,53;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;31,53;0,00;0,00;1,00;31,53;31,53;0,00;0,00;31,53;0,00;
897;009536;GR-8/LED;ΦΩΤΙΣΤΙΚΟ ΑΣΦΑΛΕΙΑΣ LED 2.7W 1.5H IP42;FIRE EXTINGUISHING;ΠΑΡΕΛΚΟΜΕΝΑ FIRE EXTINGUISHING;4,00;25,34;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;25,34;0,00;0,00;4,00;25,34;25,34;0,00;0,00;25,34;0,00;
898;009540;DSC-HS2LCDPROE6;LCD KEYPAD PRO;INTRUSION/BA;ΠΛΗΚΤΡΟΛΟΓΙΑ BA;1,00;59,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;59,14;0,00;0,00;1,00;59,14;59,14;0,00;0,00;59,14;0,00;
899;009548;B04420066;ΕΝΕΡΓΟΠΟΙΗΤΗΣ Δ.Δ. ΠΜΕΥΜΑΤ. RT;FIRE EXTINGUISHING;;7,00;274,86;0,00;0,00;0,00;0,00;0,00;0,00;7,00;159,61;7,00;274,86;7,00;159,61;0,00;0,00;274,86;117,80;159,61;0,00;26,20;
900;009550;029510006;ΠΡΟΣΑΡΜΟΓΕΑΣ ΓΙΑ ΣΩΛΗΝΑ ΠΙΛΟΤΟΥ RT;FIRE EXTINGUISHING;;14,00;54,98;0,00;0,00;0,00;0,00;0,00;0,00;14,00;31,93;14,00;54,98;14,00;31,93;0,00;0,00;54,98;23,56;31,93;0,00;26,21;
901;009552;29730040;BLEED VALVE ΓΙΑ ΤΕΛΕΥΤΑΙΟ ΠΝΕΥΜΑΤΙΚΟ ΕΝΕΡΓΟΠΟΙΗΤΗ;FIRE EXTINGUISHING;;2,00;85,34;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;2,00;85,34;2,00;0,00;0,00;0,00;85,34;0,00;0,00;0,00;0,00;
902;009556;DS-1280ZJ-DM46;JUNCTION BOX;CCTV;MOUNTS/PLATES/BRACKETS/BOXES;2,00;14,59;0,00;0,00;0,00;0,00;0,00;0,00;1,00;12,82;2,00;14,59;1,00;12,82;1,00;7,30;14,59;7,30;12,82;7,30;43,10;
903;009561;SIR/V;ΕΞΩΤΕΡΙΚΗ ΣΕΙΡΗΝΑ SIR/V WHITE;INTRUSION/BA;ΣΕΙΡΗΝΕΣ BA;1,00;36,87;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;36,87;0,00;0,00;1,00;36,87;36,87;0,00;0,00;36,87;0,00;
904;009568;IES02-B12-BI04;Illustra Essentials 2MP Bullet, motorised varifocal lens 2.7-13.5mm, remote focus, outdoor, white, TDN w/IR, True WDR, IP67, PoE;CCTV;ΚΑΜΕΡΕΣ BULLET;2,00;341,77;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;341,77;0,00;0,00;2,00;341,77;341,77;0,00;0,00;341,77;0,00;
905;009575;555.800.064;SIO800 Single input/output module with M520 front cover;ΛΟΙΠΑ;ΛΟΙΠΑ ΠΑΡΕΛΚΟΜΕΝΑ;6,00;350,34;0,00;0,00;0,00;0,00;0,00;0,00;4,00;311,76;6,00;350,34;4,00;311,76;2,00;116,78;350,34;233,56;311,76;116,78;25,08;
906;009591;PC 0.5m;PATCH CORDS CAT6 0.5m;ΛΟΙΠΑ;ΚΑΛΩΔΙΑ;5,00;2,01;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;5,00;2,01;5,00;0,00;0,00;0,00;2,01;0,00;0,00;0,00;0,00;
907;009592;PC 1m;PATCH CORDS CAT6 1m;ΛΟΙΠΑ;ΚΑΛΩΔΙΑ;24,00;14,14;0,00;0,00;0,00;0,00;54,00;31,10;7,00;2,00;78,00;45,24;7,00;2,00;71,00;41,82;14,14;1,18;2,00;41,83;41,08;
908;009599;IBWS-M-ISWB-0;Illustra Flex Gen3 Multisensor Wall Mount Bracket;CCTV;ΠΑΡΕΛΚΟΜΕΝΑ CCTV/ACCESSORIES;1,00;50,65;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;50,65;0,00;0,00;1,00;50,65;50,65;0,00;0,00;50,65;0,00;
909;009605;ADVCPTZKEY1;victor Client USB joystick surveillance keyboard;CCTV;ΠΑΡΕΛΚΟΜΕΝΑ CCTV/ACCESSORIES;8,00;6.160,96;0,00;0,00;0,00;0,00;0,00;2.746,66;1,00;0,00;8,00;8.907,62;1,00;0,00;7,00;2.746,66;6.160,96;0,00;0,00;2.746,66;0,00;
910;009606;IES02-D10-OI04;Illustra Essentials 2MP Dome, fixed 2.8mm, outdoor, IK10 vandal, clear, white, TDN w/IR, True WDR, IP67, PoE, 12VDC;CCTV;ΚΑΜΕΡΕΣ DOME;13,00;1.322,62;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;1.322,62;0,00;0,00;13,00;1.322,62;1.322,62;0,00;0,00;1.322,62;0,00;
911;009609;501-1231;CUSTOM EMPLOYEE BADGE (pk of 100);ACCESS CONTROL;ΠΑΡΕΛΚΟΜΕΝΑ ACCESS CONTROL;0,00;0,00;0,00;0,00;0,00;0,00;1,00;364,44;1,00;450,00;1,00;364,44;1,00;450,00;0,00;0,00;0,00;364,44;450,00;0,00;19,01;
912;009610;501-1235;CUSTOM NON-EMPLOYEE BADGE (pk of 100);ACCESS CONTROL;ΠΑΡΕΛΚΟΜΕΝΑ ACCESS CONTROL;0,00;0,00;0,00;0,00;0,00;0,00;1,00;364,46;1,00;450,00;1,00;364,46;1,00;450,00;0,00;0,00;0,00;364,46;450,00;0,00;19,01;
913;009628;ICS-A10010;Unmonitored Standard Magnet, 544 Kg holding force. Fail-Safe, 12 or 24 Vdc Operating voltage  ( Dimensions: 268 x40x 67 );ACCESS CONTROL;ΗΛΕΚΤΡΟΜΑΓΝΗΤΕΣ/ΚΥΠΡΙ/ΗΛΕΚΤΡΙΚΕΣ ΚΛΕΙΔΑΡΙΕΣ;2,00;92,84;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;92,84;0,00;0,00;2,00;92,84;92,84;0,00;0,00;92,84;0,00;
914;009629;6267;AJAX SPACE CONTROL BLACK;INTRUSION/BA;ΠΑΡΕΛΚΟΜΕΝΑ INTRUSION/BA;1,00;15,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;15,03;0,00;0,00;1,00;15,03;15,03;0,00;0,00;15,03;0,00;
915;009633;DS-3E0106HP-E;6 Ports Unmanaged PoE Switch, 4xPoE Ports, 60Watt, 1xHi-PoE Port;IT;SWITCHES;1,00;28,11;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;28,11;1,00;0,00;0,00;0,00;28,11;0,00;0,00;0,00;0,00;
916;009635;HDD 8TB;HDD WD PURPLE 8TB;IT;ΣΚΛΗΡΟΙ ΔΙΣΚΟΙ;2,00;371,09;0,00;0,00;0,00;0,00;1,00;194,90;1,00;299,90;3,00;565,99;1,00;299,90;2,00;377,33;371,09;188,66;299,90;377,33;37,09;
917;009648;ES2021RE;ADDRESSABLE ΣΕΙΡΗΝΑ;INTRUSION/BA;ΣΕΙΡΗΝΕΣ BA;47,00;1.927,00;0,00;0,00;0,00;0,00;8,00;475,20;8,00;490,97;55,00;2.402,20;8,00;490,97;47,00;2.791,80;1.927,00;475,20;490,97;2.791,80;3,21;
918;009650;AWO250PU;METAL BOX FOR INTRUSION;INTRUSION/BA;ΠΕΡΙΜΕΤΡΙΚΑ BA;0,00;0,00;0,00;0,00;0,00;0,00;2,00;44,84;0,00;0,00;2,00;44,84;0,00;0,00;2,00;44,61;0,00;0,00;0,00;44,61;0,00;
919;009674;12FGL120;FIAMM 12V 120Ah AGM Μπαταρία Long-Life 10YS;ΛΟΙΠΑ;ΜΠΑΤΑΡΙΕΣ;0,00;0,00;0,00;0,00;0,00;0,00;2,00;506,79;2,00;742,46;2,00;506,79;2,00;742,46;0,00;0,00;0,00;506,79;742,46;0,00;31,74;
920;009678;KL25--22F;ΕΠΙΤΟΙΧΙΑ ΒΑΣΗ ΓΙΑ MONITOR 23-42'';IT;ΟΘΟΝΕΣ;1,00;3,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;3,04;0,00;0,00;1,00;3,04;3,04;0,00;0,00;3,04;0,00;
921;009686;DS-3T0510HP-E/HS;8 Port Gigabit Unmanaged Harsh POE Switch;IT;SWITCHES;12,00;912,50;0,00;0,00;0,00;0,00;0,00;759,00;0,00;0,00;12,00;1.671,50;0,00;0,00;12,00;912,50;912,50;0,00;0,00;912,50;0,00;
922;009687;DS-1275ZJ-SUS;Vertical pole mount;CCTV;ΠΑΡΕΛΚΟΜΕΝΑ CCTV/ACCESSORIES;66,00;1.019,90;0,00;0,00;0,00;0,00;0,00;0,00;61,00;0,00;66,00;1.019,90;61,00;0,00;5,00;77,26;1.019,90;0,00;0,00;77,26;0,00;
923;009690;iDS-7608NXI-I2/8P/8F;8CH 1U 8 PoE 4K DeepinMind NVR;CCTV;ΚΑΤΑΓΡΑΦΙΚΑ NVR/DVR;1,00;97,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;97,00;0,00;0,00;1,00;97,00;97,00;0,00;0,00;97,00;0,00;
924;009712;30521041;HOSE W21.7FX 1/2 BSPM 350MM R2;FIRE EXTINGUISHING;;0,00;0,00;0,00;0,00;0,00;0,00;2,00;215,43;2,00;41,66;2,00;215,43;2,00;41,66;0,00;0,00;0,00;215,43;41,66;0,00;-417,11;
925;009739;PFS3008-8GT;8-Port Desktop Gigabit Ethernet Switch;CCTV;ΠΑΡΕΛΚΟΜΕΝΑ CCTV/ACCESSORIES;1,00;10,18;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;10,18;0,00;0,00;1,00;10,18;10,18;0,00;0,00;10,18;0,00;
926;009740;XTRA2210N;ΡΥΘΜΙΣΤΗΣ ΦΟΡΤΙΣΗΣ 20A 12/24VDC IP32;AUTOMATION;ΦΩΤΟΒΟΛΤΑΙΚΑ ΚΑΙ ΠΑΡΕΛΚΟΜΕΝΑ;0,00;0,00;0,00;0,00;0,00;0,00;1,00;65,00;1,00;100,00;1,00;65,00;1,00;100,00;0,00;0,00;0,00;65,00;100,00;0,00;35,00;
927;009745;IPC-HFW1431T-ZS-S4;4MP Entry IR Vari-focal 2.8-12mm Bullet IP Camera;CCTV;ΚΑΜΕΡΕΣ BULLET;3,00;255,12;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;3,00;255,12;2,00;0,00;1,00;85,04;255,12;0,00;0,00;85,04;0,00;
928;009757;SUP-BEP2-ODPB;BIOENTRY P2 OPT HF_LF;ACCESS CONTROL;READERS;1,00;385,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;385,15;0,00;0,00;1,00;385,15;385,15;0,00;0,00;385,15;0,00;
929;009763;AWO200PU;ΜΕΤΑΛΛΙΚΟ ΚΟΥΤΙ ΣΥΝΑΓΕΡΜΩΝ;INTRUSION/BA;ΠΑΡΕΛΚΟΜΕΝΑ INTRUSION/BA;2,00;38,76;0,00;0,00;0,00;0,00;0,00;0,00;0,00;56,00;2,00;38,76;0,00;56,00;2,00;38,76;38,76;38,76;56,00;38,76;30,79;
930;009771;DS-1006KI;PTZ KEYBOARD;CCTV;KEYBOARDS;1,00;112,17;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;112,17;0,00;0,00;1,00;112,17;112,17;0,00;0,00;112,17;0,00;
931;009772;DS-2CD1143G0-I;4MP Fixed Dome Network Camera;CCTV;ΚΑΜΕΡΕΣ DOME;1,00;66,97;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;66,97;0,00;0,00;1,00;66,97;66,97;0,00;0,00;66,97;0,00;
932;009778;PFM300;DC12V2A Power Adapter;CCTV;ΠΑΡΕΛΚΟΜΕΝΑ CCTV/ACCESSORIES;2,00;9,41;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;9,41;0,00;0,00;2,00;9,41;9,41;0,00;0,00;9,41;0,00;
933;009797;B04614200;"Ακροφύσιο 3/4"" Φ3.4mm για FK-5-1-12, 360°";FIRE DETECTION;SPARE PARTS FIRE DETECTION;3,00;186,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;186,00;0,00;0,00;3,00;186,00;186,00;0,00;0,00;186,00;0,00;
934;009802;XVBC33;ΦΑΝΟΣ ΣΗΜΑΝΣΗΣ 24-250V AC/DC ΠΡΑΣΙΝΟΣ;ACCESS CONTROL;BUTTONS;19,00;235,98;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19,00;235,98;0,00;0,00;19,00;235,98;235,98;0,00;0,00;235,98;0,00;
935;009804;ZBE102;ΒΟΗΘΗΤΙΚΟ ΜΠΛΟΚ ΕΠΑΦΩΝ 1NC 3A;INTRUSION/BA;ΠΑΡΕΛΚΟΜΕΝΑ INTRUSION/BA;21,00;44,00;0,00;0,00;0,00;0,00;38,00;77,06;0,00;0,00;59,00;121,06;0,00;0,00;59,00;119,83;44,00;0,00;0,00;119,84;0,00;
936;009805;DS-2CD2T26G2-2I;2MP AcuSense Fixed Bullet Network Camera;CCTV;ΚΑΜΕΡΕΣ BULLET;1,00;18,85;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;18,85;0,00;0,00;1,00;18,85;18,85;0,00;0,00;18,85;0,00;
937;009815;PFS3008-8ET-60;8-Port Fast Ethernet PoE Switch with 4-Port PoE;IT;SWITCHES;1,00;35,34;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;35,34;0,00;0,00;1,00;35,34;35,34;0,00;0,00;35,34;0,00;
938;009818;DS-1473ZJ-155B;Wall Mount for Dome Camera;CCTV;MOUNTS/PLATES/BRACKETS/BOXES;3,00;83,76;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;83,76;0,00;0,00;3,00;83,76;83,76;0,00;0,00;83,76;0,00;
939;009819;XVBC9M;ΑΚΟΥΣΤΙΚΗ ΜΟΝΑΔΑ ΓΙΑ ΠΥΡΓΟ ΣΗΜΑΤΩΝ;INTRUSION/BA;ΠΑΡΕΛΚΟΜΕΝΑ INTRUSION/BA;8,00;421,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;421,40;0,00;0,00;8,00;421,40;421,40;0,00;0,00;421,40;0,00;
940;009820;ZB5AC3;ΚΕΦΑΛΙ ΜΟΥΤΟΝ ΜΑΝΙΤΑΡΙ Φ22;FIRE EXTINGUISHING;EXTINGUISHING ELECTRONIC KIT;19,00;69,54;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19,00;69,54;0,00;0,00;19,00;69,54;69,54;0,00;0,00;69,54;0,00;
941;009821;ZB5AZ101;ΒΟΗΘΗΤΙΚΟ ΜΠΛΟΚ ΕΠΑΦΩΝ 1 NO3A;INTRUSION/BA;ΠΑΡΕΛΚΟΜΕΝΑ INTRUSION/BA;19,00;40,58;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19,00;40,58;0,00;0,00;19,00;40,58;40,58;0,00;0,00;40,58;0,00;
942;009823;SP-150-24;Switching Power Supplies 150W 24V 6.3A;ΛΟΙΠΑ;ΤΡΟΦΟΔΟΤΙΚΑ;1,00;24,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;24,00;0,00;0,00;1,00;24,00;24,00;0,00;0,00;24,00;0,00;
943;009829;77470;LED ΦΩΤΑ ΟΓΚΟΥ IP66;ΛΟΙΠΑ;ΛΟΙΠΑ ΠΑΡΕΛΚΟΜΕΝΑ;18,00;38,14;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;18,00;38,14;4,00;0,00;14,00;29,67;38,14;0,00;0,00;29,66;0,00;
944;009831;PFM791;HD Video Isolator;CCTV;ΠΑΡΕΛΚΟΜΕΝΑ CCTV/ACCESSORIES;7,00;445,24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;445,24;0,00;0,00;7,00;445,24;445,24;0,00;0,00;445,24;0,00;
945;009833;KR310;Dual frequency RFID;ACCESS CONTROL;ΠΑΡΕΛΚΟΜΕΝΑ ACCESS CONTROL;6,00;180,12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;180,12;0,00;0,00;6,00;180,12;180,12;0,00;0,00;180,12;0,00;
946;009836;575911155;"SPRINKLER PENDENT TY-B 3/4"" NPT ORIFICE 20MM 68°C BRONZE K-FACTOR 115 5MM BULB SIN: TY4251";FIRE EXTINGUISHING;SPRINKLER;1,00;0,61;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,61;0,00;0,00;1,00;0,61;0,61;0,00;0,00;0,61;0,00;
947;009841;516.600.004;601CH Heat enhanced carbon monoxide fire detector;FIRE DETECTION;ΑΝΙΧΝΕΥΤΕΣ FIRE CONVENTIONAL;1,00;26,98;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;26,98;0,00;0,00;1,00;26,98;26,98;0,00;0,00;26,98;0,00;
948;009842;37RR-E91;ΗΛΕΚΤΡΙΚΟ ΚΥΠΡΙ EFF-EFF 37RR-E91;ACCESS CONTROL;ΗΛΕΚΤΡΟΜΑΓΝΗΤΕΣ/ΚΥΠΡΙ/ΗΛΕΚΤΡΙΚΕΣ ΚΛΕΙΔΑΡΙΕΣ;3,00;507,52;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;507,52;0,00;0,00;3,00;507,52;507,52;0,00;0,00;507,52;0,00;
949;009844;XB/ARCSS25;ΕΠΙΤΟΙΧΟ ΜΕΤΑΛΛΙΚΟ ΜΠΟΥΤΟΝ ΑΠΕΛΕΥΘΕΡΩΣΗΣ ΠΟΡΤΑΣ;ACCESS CONTROL;ΠΑΡΕΛΚΟΜΕΝΑ ACCESS CONTROL;5,00;139,26;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;139,26;0,00;0,00;5,00;139,26;139,26;0,00;0,00;139,26;0,00;
950;009849;VARTA-LONGLIFE;ΜΠΑΤΑΡΙΑ ΑΛΚΑΛΙΚΗ (1.5 V / LR6) 12αδα;ΛΟΙΠΑ;ΜΠΑΤΑΡΙΕΣ;6,00;11,74;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;11,74;0,00;0,00;6,00;11,74;11,74;0,00;0,00;11,74;0,00;
951;009852;ifs03d1ocwita;illst Flex 3MP MD out;CCTV;ΠΑΡΕΛΚΟΜΕΝΑ CCTV/ACCESSORIES;1,00;51,41;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;51,41;0,00;0,00;1,00;51,41;51,41;0,00;0,00;51,41;0,00;
